host_response_rate,host_identity_verified,host_total_listings_count,city,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month,fraud
90,1,6,1,1,0,1,1,1.0,1.0,1.0,4,547,4000,7,34,90.0,0,2,0.38,0
100,1,7,2,1,8,1,2,1.0,1.0,1.0,4,1158,14500,3,36,91.0,0,2,0.4,0
100,1,7,2,1,0,0,4,1.0,1.0,2.0,4,2016,19500,3,47,95.0,0,2,0.54,1
100,1,1,2,1,0,1,2,1.0,1.0,1.0,4,964,6500,3,41,98.0,0,1,0.47,0
100,0,12,2,1,0,0,3,1.0,1.0,1.0,4,1794,15400,30,18,91.0,0,1,0.21,0
94,0,5,2,1,0,0,4,2.0,2.0,2.0,4,1519,22500,3,13,100.0,0,3,0.18,1
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1573,22900,2,9,89.0,0,3,0.15,0
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,131,20900,2,22,78.0,0,3,0.35,0
89,1,558,2,1,0,0,3,1.0,1.0,1.0,4,1135,25900,4,3,90.0,0,3,0.04,0
89,1,558,2,1,0,0,4,1.0,2.0,2.0,4,1299,34200,2,21,87.0,0,3,0.35,0
89,1,558,2,1,0,0,6,1.0,2.0,2.0,4,1123,44900,2,1,100.0,0,3,0.07,0
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1604,25100,2,22,85.0,0,3,0.28,1
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1728,27900,2,6,80.0,0,3,0.12,0
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,2077,24900,3,0,100.0,0,3,1.0,0
100,0,12,2,1,0,0,3,1.0,1.0,1.0,4,1034,15000,6,21,95.0,0,2,0.25,1
100,0,4,2,1,0,1,1,1.0,1.0,1.0,4,1498,11500,1,2,60.0,0,1,0.09,0
100,0,4,2,1,8,1,2,1.0,1.0,1.0,4,3091,8000,1,1,60.0,0,2,0.04,0
100,0,4,2,1,0,1,4,0.0,1.0,2.0,4,1835,10000,1,14,70.0,0,0,0.48,1
100,0,4,2,1,0,0,5,1.0,2.0,4.0,4,317,25000,4,0,100.0,0,2,1.0,0
78,0,7,2,0,4,0,2,1.0,0.0,1.0,4,1566,16500,1,3,87.0,0,2,0.37,0
100,0,12,2,1,4,0,3,1.0,1.0,1.0,4,1790,20000,6,9,93.0,0,2,0.42,1
89,1,558,2,1,0,0,6,3.0,3.0,3.0,4,1597,39900,3,29,86.0,0,3,0.38,0
100,1,16,2,1,2,0,10,2.0,3.0,6.0,4,1626,37500,2,13,94.0,0,2,0.2,1
89,1,558,2,1,0,0,6,2.0,3.0,3.0,4,940,38900,3,52,88.0,0,3,0.67,1
89,1,558,2,1,0,0,4,1.5,2.0,2.0,4,1300,35900,2,15,71.0,0,3,0.21,1
73,1,10,2,1,0,0,6,1.0,3.0,3.0,4,1343,12600,6,17,88.0,0,2,0.22,1
99,1,3,2,1,8,1,2,1.0,1.0,1.0,4,76,7500,1,271,86.0,1,1,3.44,1
89,1,558,2,1,0,0,4,1.0,2.0,2.0,4,1299,32900,4,11,86.0,0,3,0.15,0
89,1,558,2,1,0,0,4,1.0,2.0,2.0,4,1127,34900,3,21,94.0,0,3,0.32,1
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,2031,22500,3,4,90.0,0,3,0.05,0
89,1,558,2,1,0,0,5,1.0,2.0,2.0,4,1958,28500,2,23,84.0,0,3,0.34,0
100,1,5,2,1,1,1,1,1.0,1.0,1.0,4,520,13500,1,215,88.0,0,1,3.46,1
100,1,6,2,1,0,0,2,1.0,1.0,1.0,4,1108,17500,4,127,92.0,1,2,1.67,1
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1851,24900,4,0,100.0,0,3,1.0,0
100,0,1,2,1,2,0,6,2.0,2.0,2.0,4,661,25000,1,37,95.0,0,2,0.52,0
89,1,558,2,1,0,0,4,1.0,2.0,2.0,4,1027,34900,3,9,88.0,0,3,0.12,0
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1029,24900,3,4,95.0,0,3,0.06,0
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1956,27900,2,4,84.0,0,3,0.06,1
100,1,1,2,1,0,0,2,1.0,1.0,1.0,4,442,18500,3,8,86.0,0,2,0.29,0
89,1,558,2,1,0,0,2,1.0,1.0,1.0,4,1604,25100,2,21,81.0,0,3,0.36,1
89,1,558,2,1,0,0,6,1.5,3.0,3.0,4,939,45100,3,31,89.0,0,3,0.6,1
