UF;NOME_MUNICIPIO;ENQUADRAMENTO;VALOR_BENEFICIO
AC;RIO BRANCO;BOLSA FAMILIA;2202
AC;SENADOR GUIOMARD;BOLSA FAMILIA;2400
AL;ANADIA;BOLSA FAMILIA;1200
AL;ARAPIRACA;BOLSA FAMILIA;1200
AL;ARAPIRACA;BOLSA FAMILIA;1200
AL;ARAPIRACA;BOLSA FAMILIA;1200
AL;COLONIA LEOPOLDINA;EXTRACAD;300
AL;FEIRA GRANDE;BOLSA FAMILIA;1200
AL;LIMOEIRO DE ANADIA;BOLSA FAMILIA;1200
AL;LIMOEIRO DE ANADIA;BOLSA FAMILIA;2400
AL;MACEIO;BOLSA FAMILIA;600
AL;MACEIO;EXTRACAD;1200
AL;MACEIO;EXTRACAD;1200
AL;MACEIO;EXTRACAD;1200
AL;MACEIO;EXTRACAD;1200
AL;MACEIO;EXTRACAD;1200
AL;MACEIO;EXTRACAD;600
AL;MACEIO;EXTRACAD;600
AL;MACEIO;EXTRACAD;600
AL;MACEIO;EXTRACAD;300
AL;MACEIO;EXTRACAD;300
AL;MACEIO;BOLSA FAMILIA;1200
AL;MACEIO;BOLSA FAMILIA;600
AL;MACEIO;EXTRACAD;300
AL;MACEIO;EXTRACAD;600
AL;MACEIO;EXTRACAD;300
AL;MACEIO;EXTRACAD;600
AL;MACEIO;EXTRACAD;300
AL;MACEIO;EXTRACAD;600
AL;MACEIO;EXTRACAD;600
AL;MACEIO;EXTRACAD;600
AL;MACEIO;EXTRACAD;300
AL;MACEIO;EXTRACAD;300
AL;MACEIO;EXTRACAD;300
AL;MACEIO;EXTRACAD;300
AL;MACEIO;EXTRACAD;300
AL;MACEIO;BOLSA FAMILIA;1414
AL;MACEIO;BOLSA FAMILIA;1200
AL;MACEIO;EXTRACAD;600
AL;MACEIO;EXTRACAD;600
AL;MACEIO;EXTRACAD;300
AL;MACEIO;EXTRACAD;300
AL;MACEIO;EXTRACAD;600
AL;MACEIO;EXTRACAD;300
AL;MACEIO;EXTRACAD;600
AL;MACEIO;EXTRACAD;300
AL;MACEIO;EXTRACAD;600
AL;MACEIO;BOLSA FAMILIA;1800
AL;PALESTINA;BOLSA FAMILIA;1200
AL;PALESTINA;BOLSA FAMILIA;2400
AL;PAO DE ACUCAR;EXTRACAD;600
AL;PAO DE ACUCAR;EXTRACAD;600
AL;PAO DE ACUCAR;EXTRACAD;600
AL;PAO DE ACUCAR;EXTRACAD;600
AL;PAO DE ACUCAR;BOLSA FAMILIA;600
AL;PAO DE ACUCAR;BOLSA FAMILIA;1200
AL;PAO DE ACUCAR;EXTRACAD;300
AL;PAO DE ACUCAR;EXTRACAD;300
AL;PAO DE ACUCAR;EXTRACAD;300
AL;PAO DE ACUCAR;EXTRACAD;300
AL;PENEDO;BOLSA FAMILIA;3000
AL;PORTO CALVO;EXTRACAD;300
AL;PORTO CALVO;EXTRACAD;300
AL;PORTO CALVO;EXTRACAD;300
AL;PORTO CALVO;EXTRACAD;300
AL;SAO MIGUEL DOS MILAGRES;BOLSA FAMILIA;2194
AM;CANUTAMA;CADUNICO;300
AM;CANUTAMA;CADUNICO;300
AM;CANUTAMA;CADUNICO;300
AM;CANUTAMA;CADUNICO;300
AM;FONTE BOA;BOLSA FAMILIA;2400
AM;HUMAITA;BOLSA FAMILIA;1651
AM;ITACOATIARA;BOLSA FAMILIA;1200
AM;ITACOATIARA;BOLSA FAMILIA;3000
AM;MANAUS;BOLSA FAMILIA;2400
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MANAUS;BOLSA FAMILIA;1200
AM;MANAUS;BOLSA FAMILIA;1800
AM;MANAUS;EXTRACAD;600
AM;MANAUS;EXTRACAD;600
AM;MANAUS;EXTRACAD;600
AM;MANAUS;EXTRACAD;600
AM;MANAUS;EXTRACAD;600
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MANAUS;EXTRACAD;300
AM;MAUES;BOLSA FAMILIA;3000
AM;PARINTINS;BOLSA FAMILIA;2130
AM;PARINTINS;EXTRACAD;300
AM;PARINTINS;EXTRACAD;300
AP;MACAPA;EXTRACAD;300
AP;MACAPA;EXTRACAD;300
AP;MACAPA;EXTRACAD;300
AP;MACAPA;EXTRACAD;300
AP;MACAPA;BOLSA FAMILIA;2251
BA;BOM JESUS DA LAPA;BOLSA FAMILIA;2098
BA;BRUMADO;EXTRACAD;600
BA;BRUMADO;EXTRACAD;600
BA;CACHOEIRA;BOLSA FAMILIA;2300
BA;CAMACARI;EXTRACAD;300
BA;CAMACARI;EXTRACAD;300
BA;CAMACARI;EXTRACAD;300
BA;CAMACARI;EXTRACAD;300
BA;CAMACARI;BOLSA FAMILIA;2202
BA;CAMACARI;BOLSA FAMILIA;2400
BA;CAMACARI;BOLSA FAMILIA;1200
BA;CAMACARI;BOLSA FAMILIA;600
BA;CAMACARI;BOLSA FAMILIA;1200
BA;CAMACARI;EXTRACAD;1200
BA;CAMACARI;EXTRACAD;1200
BA;CAMACARI;EXTRACAD;1200
BA;CAMPO FORMOSO;BOLSA FAMILIA;2153
BA;CAMPO FORMOSO;BOLSA FAMILIA;1200
BA;CAMPO FORMOSO;BOLSA FAMILIA;507
BA;CAMPO FORMOSO;BOLSA FAMILIA;2251
BA;CANDIBA;BOLSA FAMILIA;600
BA;CANDIBA;BOLSA FAMILIA;1200
BA;CARAIBAS;BOLSA FAMILIA;1200
BA;CURACA;BOLSA FAMILIA;999
BA;DIAS D'AVILA;BOLSA FAMILIA;1200
BA;EUNAPOLIS;EXTRACAD;600
BA;EUNAPOLIS;EXTRACAD;600
BA;FEIRA DE SANTANA;EXTRACAD;600
BA;FEIRA DE SANTANA;EXTRACAD;600
BA;FEIRA DE SANTANA;EXTRACAD;600
BA;FEIRA DE SANTANA;EXTRACAD;600
BA;FEIRA DE SANTANA;BOLSA FAMILIA;3000
BA;FEIRA DE SANTANA;CADUNICO;300
BA;FEIRA DE SANTANA;CADUNICO;300
BA;FEIRA DE SANTANA;CADUNICO;300
BA;FEIRA DE SANTANA;CADUNICO;300
BA;FEIRA DE SANTANA;EXTRACAD;600
BA;FEIRA DE SANTANA;EXTRACAD;600
BA;FEIRA DE SANTANA;EXTRACAD;600
BA;FEIRA DE SANTANA;EXTRACAD;600
BA;GUANAMBI;BOLSA FAMILIA;3000
BA;ILHEUS;CADUNICO;600
BA;ILHEUS;CADUNICO;600
BA;ILHEUS;CADUNICO;600
BA;ILHEUS;CADUNICO;600
BA;IPIRA;BOLSA FAMILIA;1200
BA;ITAPETINGA;EXTRACAD;300
BA;ITAPETINGA;EXTRACAD;300
BA;ITAPETINGA;BOLSA FAMILIA;2400
BA;ITAPETINGA;BOLSA FAMILIA;1200
BA;JAGUAQUARA;CADUNICO;1200
BA;JAGUAQUARA;CADUNICO;1200
BA;JAGUAQUARA;CADUNICO;1200
BA;JAGUAQUARA;CADUNICO;1200
BA;JEREMOABO;BOLSA FAMILIA;1200
BA;JUAZEIRO;BOLSA FAMILIA;1
BA;JUAZEIRO;BOLSA FAMILIA;2400
BA;JUAZEIRO;BOLSA FAMILIA;2400
BA;JUAZEIRO;BOLSA FAMILIA;1200
BA;LAURO DE FREITAS;BOLSA FAMILIA;1200
BA;MADRE DE DEUS;BOLSA FAMILIA;946
BA;MORTUGABA;BOLSA FAMILIA;2335
BA;OUROLANDIA;BOLSA FAMILIA;1200
BA;PAULO AFONSO;EXTRACAD;300
BA;PAULO AFONSO;EXTRACAD;300
BA;PAULO AFONSO;EXTRACAD;300
BA;PAULO AFONSO;EXTRACAD;600
BA;PAULO AFONSO;EXTRACAD;300
BA;PAULO AFONSO;EXTRACAD;600
BA;PAULO AFONSO;EXTRACAD;600
BA;PAULO AFONSO;EXTRACAD;600
BA;PAULO AFONSO;BOLSA FAMILIA;1200
BA;PAULO AFONSO;BOLSA FAMILIA;1200
BA;PAULO AFONSO;EXTRACAD;300
BA;PAULO AFONSO;EXTRACAD;300
BA;PAULO AFONSO;EXTRACAD;300
BA;PAULO AFONSO;EXTRACAD;300
BA;PAULO AFONSO;EXTRACAD;300
BA;PAULO AFONSO;EXTRACAD;300
BA;PAULO AFONSO;EXTRACAD;300
BA;PAULO AFONSO;EXTRACAD;300
BA;PAULO AFONSO;BOLSA FAMILIA;600
BA;PAULO AFONSO;BOLSA FAMILIA;900
BA;PINDAI;BOLSA FAMILIA;1200
BA;PINDAI;BOLSA FAMILIA;600
BA;POJUCA;BOLSA FAMILIA;2199
BA;PORTO SEGURO;EXTRACAD;300
BA;PORTO SEGURO;EXTRACAD;300
BA;PORTO SEGURO;EXTRACAD;300
BA;REMANSO;BOLSA FAMILIA;600
BA;RODELAS;BOLSA FAMILIA;600
BA;SALVADOR;BOLSA FAMILIA;900
BA;SALVADOR;CADUNICO;300
BA;SALVADOR;BOLSA FAMILIA;2186
