Product;Age;Gender;Education;MaritalStatus;Usage;Fitness;Income;Miles
TM195;18;Male;14;Single;3;4;29562,5;112
TM195;19;Male;15;Single;2;3;31836,5;75
TM195;19;Female;14;Partnered;4;3;30699,5;66
TM195;19;Male;12;Single;3;3;32973,5;85
TM195;20;Male;13;Partnered;4;2;35247,5;47
TM195;20;Female;14;Partnered;3;3;32973,5;66
TM195;21;Female;14;Partnered;3;3;35247,5;75
TM195;21;Male;13;Single;3;3;32973,5;85
TM195;21;Male;15;Single;5;4;35247,5;141
TM195;21;Female;15;Partnered;2;3;37521,5;85
TM195;22;Male;14;Single;3;3;36384,5;85
TM195;22;Female;14;Partnered;3;2;35247,5;66
TM195;22;Female;16;Single;4;3;36384,5;75
TM195;22;Female;14;Single;3;3;35247,5;75
TM195;23;Male;16;Partnered;3;1;38658,5;47
TM195;23;Male;16;Partnered;3;3;40932,5;75
TM195;23;Female;14;Single;2;3;34110,5;103
TM195;23;Male;16;Partnered;4;3;39795,5;94
TM195;23;Female;16;Single;4;3;38658,5;113
TM195;23;Female;15;Partnered;2;2;34110,5;38
TM195;23;Male;14;Single;4;3;38658,5;113
TM195;23;Male;16;Single;4;3;40932,5;94
TM195;;Female;16;Single;4;3;42069,5;94
TM195;;Female;16;Partnered;5;5;44343,5;188
TM195;;Male;14;Single;2;3;45480,5;113
TM195;;Male;13;Partnered;3;2;42069,5;47
TM195;;Female;16;Single;4;3;46617,5;75
TM195;;Female;14;Partnered;3;3;48891,5;75
TM195;;Male;14;Partnered;2;3;45480,5;56
TM195;;Female;14;Partnered;2;2;53439,5;47
TM195;;Female;14;Partnered;3;3;39795,5;85
TM195;;Male;16;Single;3;4;40932,5;113
TM195;;Female;16;Partnered;2;2;40932,5;47
TM195;;Male;16;Single;3;3;43206,5;85
TM195;;Female;14;Partnered;3;4;44343,5;113
TM195;;Female;16;Partnered;4;3;52302,5;113
TM195;;Male;16;Partnered;2;2;53439,5;47
TM195;;Male;16;Partnered;3;3;51165,5;85
TM195;;Female;16;Single;3;3;36384,5;66
TM195;;Male;16;Partnered;4;4;44343,5;132
TM195;;Male;16;Single;3;3;50028,5;85
TM195;;Female;14;Partnered;3;2;45480,5;66
TM195;;Male;16;Single;4;3;54576,5;85
TM195;;Female;14;Partnered;2;3;45480,5;56
TM195;;Female;14;Partnered;2;3;46617,5;56
TM195;;Female;16;Partnered;2;3;52302,5;66
TM195;;Male;14;Single;3;3;52302,5;103
TM195;;Female;14;Partnered;3;3;54576,5;94
TM195;;Male;14;Single;4;3;54576,5;113
TM195;;Female;16;Partnered;3;3;51165,5;56
TM195;;Male;18;Partnered;3;3;68220,5;85
TM195;;Female;14;Partnered;2;2;46617,5;38
TM195;;Female;16;Partnered;4;3;50028,5;94
TM195;;Male;14;Partnered;4;4;46617,5;141
TM195;;Male;14;Single;3;3;54576,5;85
TM195;;Male;14;Partnered;2;2;54576,5;47
TM195;;Female;14;Single;2;2;45480,5;47
TM195;;Female;14;Single;3;4;46617,5;113
TM195;;Male;14;Partnered;4;3;52302,5;85
TM195;;Female;16;Single;2;2;55713,5;38
TM195;;Female;16;Partnered;3;3;46617,5;85
TM195;;Male;16;Single;4;5;51165,5;169
TM195;;Female;16;Single;2;2;52302,5;66
TM195;;Male;16;Partnered;4;3;48891,5;85
TM195;;Female;16;Partnered;3;3;60261,5;94
TM195;;Female;18;Single;3;3;67083,5;85
TM195;;Male;12;Single;4;3;44343,5;94
TM195;;Female;16;Partnered;3;3;37521,5;85
TM195;;Male;16;Partnered;3;3;46617,5;75
TM195;;Female;14;Partnered;2;3;54576,5;56
TM195;;Male;14;Single;2;3;52302,5;56
TM195;;Male;16;Partnered;3;3;56850,5;75
TM195;;Male;16;Partnered;4;4;59124,5;132
TM195;;Male;16;Partnered;3;3;61398,5;66
TM195;;Male;16;Partnered;4;3;54576,5;103
TM195;;Male;16;Partnered;3;3;53439,5;66
