Stasiun,Tanggal,Tn,Tx,Tavg,RR,Hari_hujan,Besok_hujan
Stasiun Meteorologi Nangapinoh,20-03-2010,20.3,31.1,25.8,108,1,1
Stasiun Meteorologi Maritim Tanjung Mas,07-03-2010,25,31.8,29.2,106,1,1
Stasiun Klimatologi Mempawah,09-01-2009,23.4,29.6,25.8,100.6,1,1
Stasiun Meteorologi Cilacap,09-01-2009,23.6,28,25.6,93.9,1,1
Stasiun Klimatologi Bogor,21-01-2009,21.1,29.4,25.5,93,1,1
Stasiun Meteorologi Maritim Tanjung Mas,14-01-2009,24,27,24.9,92.8,1,1
Stasiun Meteorologi Maritim Tanjung Mas,12-01-2010,25,30.6,27.4,89,1,1
 Stasiun Meteorologi Maritim Tanjung Mas,25-03-2010,25,32,28.3,82.2,1,1
Stasiun Meteorologi Maritim Tanjung Mas,13-03-2010,26.4,33.4,29.3,82,1,1
Stasiun Klimatologi Bogor,10-02-2010,21.8,33.2,25.8,81.2,1,1
Stasiun Meteorologi Cilacap,10-03-2010,24,32.9,27.5,79.9,1,1
Stasiun Meteorologi Maritim Tanjung Mas,25-01-2009,24.4,29.8,26.6,76.4,1,1
Stasiun Meteorologi Maritim Tanjung Mas,08-02-2009,23.4,28.1,26,75.4,1,1
Stasiun Klimatologi Bogor,11-02-2010,23.3,31.8,26.1,74,1,1
Stasiun Meteorologi Nangapinoh,21-02-2009,22.3,27.5,25.2,71,1,1
Stasiun Klimatologi Mempawah,19-02-2010,24.2,30.8,26.3,70,1,1
Stasiun Klimatologi Bogor,08-02-2010,22.3,31,26.2,69,1,1
Stasiun Meteorologi Maritim Tanjung Mas,29-01-2010,25.4,30.6,27.6,67.8,1,1
Stasiun Meteorologi Cilacap,14-02-2010,24,32,26.8,67.5,1,1
Stasiun Meteorologi Nangapinoh,27-01-2010,23.2,29.6,25.5,66.5,1,1
Stasiun Meteorologi Nangapinoh,05-01-2010,23,29.8,24.9,66,1,1
Stasiun Meteorologi Nangapinoh,23-01-2010,22,27.4,25,64.8,1,1
Stasiun Meteorologi Maritim Tanjung Mas,27-01-2010,25,30.2,26.7,64.8,1,1
Stasiun Meteorologi Maritim Tanjung Mas,20-02-2010,24.6,31.2,26.6,64.6,1,1
Stasiun Meteorologi Cilacap,18-02-2009,23.1,31.4,26.8,62.4,1,1
Stasiun Meteorologi Nangapinoh,12-02-2010,23.7,32.6,27.6,62,1,1
Stasiun Klimatologi Bogor,13-01-2009,22.2,24.7,23.6,59,1,1
Stasiun Klimatologi Bogor,13-01-2009,22.2,24.7,23.6,59,1,1
Stasiun Meteorologi Maritim Tanjung Mas,13-01-2009,23.6,26.2,24.7,58.6,1,1
Stasiun Meteorologi Nangapinoh,20-02-2009,22.2,32,25.8,56.9,1,1
Stasiun Meteorologi Cilacap,05-03-2010,24.4,32.6,27.6,56.3,1,1
Stasiun Meteorologi Nangapinoh,20-03-2009,23.4,32.7,26.5,56.1,1,1
 Stasiun Meteorologi Maritim Tanjung Mas,24-03-2010,24.2,32.8,28.2,56,1,1
Stasiun Meteorologi Maritim Tanjung Mas,09-02-2009,24,28,25.4,55.3,0,0
Stasiun Meteorologi Maritim Tanjung Mas,12-01-2009,23,29.5,27.3,54,0,0
Stasiun Meteorologi Nangapinoh,28-01-2010,23.2,33.6,27,53,1,1
Stasiun Meteorologi Cilacap,23-02-2009,24.5,31.7,27.1,53,1,1
Stasiun Meteorologi Maritim Tanjung Mas,13-02-2010,25.2,31.4,27.9,49.6,0,0
 Stasiun Meteorologi Nangapinoh,05-03-2010,23.6,30.3,26.7,49,1,1
Stasiun Klimatologi Bogor,10-01-2010,22.4,28.4,25.1,48.6,0,0
Stasiun Klimatologi Bogor,15-01-2010,21.6,28.2,24.1,48,0,0
Stasiun Klimatologi Mempawah,17-02-2010,24,32.2,26.4,47.5,1,1
 Stasiun Meteorologi Nangapinoh,03-03-2010,23.4,32.9,27.1,47,1,1
Stasiun Klimatologi Bogor,12-03-2010,22.8,30.6,26,45.2,1,1
Stasiun Meteorologi Nangapinoh,31-03-2010,22.9,33.2,27.1,45.2,1,1
Stasiun Meteorologi Nangapinoh,29-01-2010,23.2,27.8,24.9,45,0,0
Stasiun Meteorologi Cilacap,08-03-2010,24.1,32.7,28,44.2,1,1
 Stasiun Meteorologi Nangapinoh,14-03-2010,22.4,31.8,26.1,43.4,1,1
Stasiun Meteorologi Nangapinoh,14-03-2010,22.4,31.8,26.1,43.4,1,1
 Stasiun Meteorologi Nangapinoh,11-03-2010,22.4,29.6,25.6,42.6,1,1
Stasiun Klimatologi Bogor,04-03-2010,23.7,33.2,26.1,41.7,1,1
Stasiun Meteorologi Cilacap,10-01-2010,24,30.6,26.7,41.3,1,1
Stasiun Klimatologi Bogor,20-01-2009,21.7,29.2,25.3,40.8,1,1
Stasiun Klimatologi Bogor,17-02-2010,23.6,31.4,26,40.5,1,1
 Stasiun Klimatologi Bogor,16-03-2009,20.4,33.7,25.4,40.5,1,1
Stasiun Klimatologi Bogor,16-03-2009,20.4,33.7,25.4,40.5,1,1
Stasiun Klimatologi Bogor,19-02-2010,23.4,30,25.2,40,1,1
Stasiun Klimatologi Mempawah,09-03-2009,23.4,31.1,25.9,39.6,1,1
Stasiun Meteorologi Nangapinoh,14-01-2010,23.7,31.2,24.8,39.5,0,0
Stasiun Klimatologi Mempawah,20-03-2010,24.8,30.7,27.1,39,1,1
Stasiun Klimatologi Mempawah,18-02-2010,24.4,30.6,26.1,38.5,1,1
Stasiun Meteorologi Nangapinoh,21-01-2010,22.2,30.6,25.8,38.2,1,1
Stasiun Klimatologi Bogor,28-02-2009,22.6,28.4,25.5,37.5,1,1
Stasiun Klimatologi Mempawah,11-03-2010,23.6,30,26.3,37.2,1,1
Stasiun Meteorologi Cilacap,30-03-2009,25,31.2,26.9,37.2,1,1
Stasiun Meteorologi Nangapinoh,25-01-2010,21.9,29.4,24.3,37,0,0
 Stasiun Meteorologi Maritim Tanjung Mas,22-03-2010,25.2,32.2,28.7,36.4,0,0
Stasiun Meteorologi Nangapinoh,31-01-2009,22.5,30.7,25.2,36.3,1,1
Stasiun Klimatologi Bogor,15-01-2009,22.2,27.3,24.6,36.1,0,0
Stasiun Klimatologi Bogor,04-02-2009,21.6,25.7,23.9,35.7,0,0
Stasiun Klimatologi Bogor,10-02-2009,21.7,29.4,25.4,35.7,1,1
Stasiun Meteorologi Maritim Tanjung Mas,14-01-2010,25.2,29.5,27.1,35.6,0,0
Stasiun Klimatologi Bogor,07-02-2009,21.6,27.6,24.4,34.5,0,0
Stasiun Klimatologi Bogor,09-02-2010,23.8,33.2,25.8,34,1,1
Stasiun Meteorologi Maritim Tanjung Mas,15-01-2009,24.2,28.2,25.8,33.8,1,1
Stasiun Meteorologi Maritim Tanjung Mas,07-02-2009,23.8,28.1,26.9,33.4,1,1
Stasiun Klimatologi Bogor,14-01-2009,21.9,26.8,23.8,33,0,0
 Stasiun Meteorologi Nangapinoh,17-02-2010,23.4,31.3,26.8,32.4,1,1
Stasiun Meteorologi Cilacap,24-02-2009,24.4,31.5,26.7,32.2,1,1
Stasiun Klimatologi Mempawah,11-01-2009,22.7,26.6,24.3,32.2,0,0
Stasiun Meteorologi Cilacap,15-03-2010,25,32.4,27,32,1,1
Stasiun Meteorologi Nangapinoh,24-03-2009,22.4,33.4,26.2,31.8,1,1
Stasiun Meteorologi Maritim Tanjung Mas,06-03-2009,25,31.8,27.2,31.8,1,1
Stasiun Meteorologi Maritim Tanjung Mas,17-01-2010,24.8,29.2,27.6,31,1,1
Stasiun Klimatologi Mempawah,22-02-2010,23.8,30.7,27,31,1,1
Stasiun Meteorologi Maritim Tanjung Mas,05-01-2009,25,31,26.8,31,1,1
Stasiun Meteorologi Maritim Tanjung Mas,21-01-2009,24.6,29.8,27.3,30.6,1,1
Stasiun Klimatologi Bogor,08-03-2010,22.6,32.2,25.8,30.6,1,1
Stasiun Meteorologi Cilacap,20-01-2010,24.6,32.6,28.3,30.4,1,1
Stasiun Meteorologi Cilacap,20-01-2010,24.6,32.6,28.3,30.4,1,1
 Stasiun Klimatologi Bogor,23-03-2009,22,31.8,25.1,30.2,1,1
Stasiun Klimatologi Bogor,23-03-2009,22,31.8,25.1,30.2,1,1
 Stasiun Meteorologi Nangapinoh,20-02-2010,22,29.4,25.1,30,1,1
Stasiun Meteorologi Nangapinoh,02-01-2010,23.5,32.2,26.9,30,1,1
Stasiun Meteorologi Maritim Tanjung Mas,04-02-2009,23.7,28.8,26.2,29.9,1,1
Stasiun Klimatologi Mempawah,04-01-2010,24.1,30.8,26.8,29.6,1,1
Stasiun Meteorologi Cilacap,06-03-2009,23.5,31.6,27.1,29.6,1,1
Stasiun Meteorologi Cilacap,30-01-2010,24.8,32.2,28.1,29.5,1,1
Stasiun Meteorologi Cilacap,26-02-2009,25,31.4,27.3,29.5,1,1
Stasiun Meteorologi Cilacap,27-02-2009,23.9,31.8,27.5,29.5,1,1
Stasiun Meteorologi Cilacap,30-01-2010,24.8,32.2,28.1,29.5,1,1
Stasiun Meteorologi Maritim Tanjung Mas,11-02-2010,23.4,32.6,29.3,29.4,1,1
Stasiun Meteorologi Nangapinoh,26-01-2009,23.6,32.4,27.1,29.3,1,1
Stasiun Meteorologi Maritim Tanjung Mas,06-01-2010,25,31.4,27.7,28.9,1,1
 Stasiun Meteorologi Nangapinoh,09-03-2010,23.7,30.2,26.1,28.5,1,1
Stasiun Meteorologi Nangapinoh,22-03-2009,22.8,29.6,25.2,28.5,1,1
Stasiun Klimatologi Bogor,23-02-2009,21.4,30.4,24.8,28.2,0,0
 Stasiun Meteorologi Nangapinoh,02-03-2010,23.5,33.8,27.3,27.5,1,1
Stasiun Meteorologi Nangapinoh,01-01-2010,23,31.3,25.6,27.5,1,1
 Stasiun Klimatologi Bogor,27-03-2009,20.3,32.8,24.4,26.9,0,0
Stasiun Meteorologi Cilacap,30-03-2010,24.6,29.5,26.6,26.9,1,1
Stasiun Meteorologi Cilacap,21-03-2009,24.8,31.7,26.3,26.9,1,1
Stasiun Klimatologi Bogor,27-03-2009,20.3,32.8,24.4,26.9,0,0
 Stasiun Klimatologi Bogor,26-03-2009,21.8,32.2,24.7,26.8,0,0
Stasiun Klimatologi Bogor,26-03-2009,21.8,32.2,24.7,26.8,0,0
Stasiun Meteorologi Cilacap,14-03-2010,25,32.5,28.1,26.6,1,1
Stasiun Meteorologi Cilacap,14-03-2010,25,32.5,28.1,26.6,1,1
