,Latitude,Longitude
0,-25,-46
1,-25,-46
2,-25,-46
3,-25,-46
4,-25,-46
5,-25,-46
6,-25,-46
7,-25,-46
8,-25,-46
9,-25,-46
10,-25,-46
11,-25,-46
12,-25,-46
13,-25,-46
14,-25,-46
15,-25,-46
16,-25,-46
17,-25,-46
18,-25,-46
19,-25,-46
20,-25,-46
21,-22,-43
22,-22,-43
23,-22,-43
24,-22,-43
25,-22,-43
26,-22,-43
27,-22,-43
28,-22,-43
29,-22,-43
30,-22,-43
31,-22,-43
32,-22,-43
33,-25,-49
34,-25,-49
35,-25,-49
36,-25,-49
37,-25,-49
38,-25,-49
39,-30,-51
40,-30,-51
41,-30,-51
42,-19,-43
43,-19,-43
44,-19,-43
45,-19,-43
46,-19,-43
47,-19,-43
48,-19,-43
49,-19,-43
50,-15,-47
51,-15,-47
52,-15,-47
53,-15,-47
54,-15,-47
55,-15,-47
56,-12,-38
57,-12,-38
58,-12,-38
59,-8,-34
60,-8,-34
61,-8,-34
62,-16,-49
63,-16,-49
64,-3,-60
65,-3,-60
66,-3,-60
67,-3,-60
68,-22,-47
69,-22,-47
70,-3,-38
71,-3,-38
72,-3,-38
73,-3,-38
74,-3,-38
75,-3,-38
76,-21,-47
77,-23,-51
78,-27,-48
79,-27,-48
80,-21,-43
81,-1,-48
82,-1,-48
83,-1,-48
84,-1,-48
85,-10,-67
86,-8,-63
