TEMPO_ESTUDO;RENDA;UF;GENERO;IDADE;ALTURA;faixa idade;Região
11;3900;RJ;M;26;1,34;Jovem adulto;Sudeste
1;600;RR;M;78;1,37;idoso;Norte
12;1500;PA;F;35;1,38;Jovem adulto;Norte
17;200;BA;M;60;1,39;adulto;Nordeste
12;2100;RS;M;49;1,40;adulto;Sul
12;2200;CE;M;35;1,40;Jovem adulto;Nordeste
5;2600;RS;M;54;1,40;adulto;Sul
5;1500;PR;M;27;1,40;Jovem adulto;Sul
1;320;MA;M;34;1,40;Jovem adulto;Nordeste
16;788;GO;F;36;1,41;Jovem adulto;Centro-Oeste
9;400;PE;F;34;1,41;Jovem adulto;Nordeste
16;1001;PI;F;59;1,41;adulto;Nordeste
5;1000;MG;M;41;1,41;Jovem adulto;Sudeste
15;9000;SP;M;51;1,41;adulto;Sudeste
9;4000;CE;M;58;1,41;adulto;Nordeste
1;2000;RJ;M;43;1,41;Jovem adulto;Sudeste
12;3000;PA;M;56;1,42;adulto;Norte
8;200;PA;F;25;1,42;Jovem adulto;Norte
16;7880;PE;F;41;1,42;Jovem adulto;Nordeste
1;1400;MG;M;64;1,42;adulto;Sudeste
12;1200;RO;F;39;1,42;Jovem adulto;Norte
11;864;BA;M;22;1,42;Jovem adulto;Nordeste
16;3000;CE;F;44;1,42;Jovem adulto;Nordeste
6;780;AC;M;20;1,42;Jovem adulto;Norte
9;500;AP;M;51;1,42;adulto;Norte
16;5000;MG;M;33;1,42;Jovem adulto;Sudeste
6;1000;RJ;F;54;1,43;adulto;Sudeste
12;788;PB;M;35;1,43;Jovem adulto;Nordeste
3;1500;SP;M;49;1,43;adulto;Sudeste
13;1300;RJ;F;32;1,43;Jovem adulto;Sudeste
3;3000;PA;M;60;1,43;adulto;Norte
6;788;RS;M;32;1,43;Jovem adulto;Sul
12;2500;DF;M;32;1,43;Jovem adulto;Centro-Oeste
3;4000;RS;M;58;1,43;adulto;Sul
