sortimento;reposição;layout;conforto;limpeza;atendimento;preço;desconto
10;6,884929657;5,482178688;6,596739769;5,73372364;2,045469046;1,577926636;2,756963968
6,050762177;4,759315491;6,442208767;6,443408489;6,086628914;1,166018009;4,426625252;6,231993675
5,447875977;4,65170145;5,344050407;6,164701939;5,722503662;2,338619471;4,097640038;5,384707928
6,092941284;5,034982681;6,250900269;5,959666729;5,564461708;2,338619471;3,606401443;5,005752563
5,442515373;4,849729061;5,135301113;6,299749851;5,983925819;0,286566854;3,642577887;4,675230503
5,2651577;4,55317831;5,077136517;6,16293335;5,2716012;1,019442797;4,251013756;5,650670528
7,309626579;5,284844875;8,434409142;8,37065506;7,989112854;1,605743527;5,389745235;6,497337341
5,970023632;4,497023582;6,543023586;6,023282051;5,084345818;1,898893952;4,478722095;6,097293854
5,700655937;4,758495808;5,742815495;6,333386898;5,888625622;0,872867584;4,403038979;6,203691006
6,359813213;5,060279846;6,759346485;6,161411762;6,032860756;2,192044258;4,390554905;6,105184555
5,975458145;4,508488178;6,54242754;5,848329544;5,103479385;0,433141947;4,738121033;6,317734718
5,421610355;4,523338318;5,419882298;5,978283882;5,02280283;0,286566854;4,204509735;6,181148529
6,106616974;5,305198669;6,00803566;6,210569382;5,634725094;2,338619471;3,299915314;4,667365551
6,133292198;4,834518909;6,532065392;6,292832851;6,191179276;1,605743527;4,569615364;6,216383934
5,875992775;5,257167339;5,594818115;6,655724525;6,177649498;2,485194683;4,349459648;6,302328587
6,016169548;4,643503666;6,488835812;6,351466656;6,192875862;1,166018009;4,563643932;5,837345123
5,813985825;5,090156555;5,637815475;6,413738728;5,624746323;1,166018009;3,911703587;5,810729027
5,621022224;4,720990181;5,621053696;6,487416267;6,051825523;3,071495533;4,761715889;6,331518173
5,327017784;4,589446068;5,164589405;6,278017998;5,542819977;1,605743527;4,499339104;5,99002409
5,327335835;4,490733624;5,26393795;5,886898518;5,83464098;3,364645958;4,21274662;5,728435516
5,441366673;4,715220928;5,267512321;5,912183762;5,189099312;0,726292372;4,131849766;5,758753777
5,858753204;4,59460783;6,22289896;6,111683369;5,229699135;3,364645958;4,135036945;5,325129509
5,846179008;4,561449528;6,230907917;6,16462183;5,572592258;1,166018009;3,959563494;5,028858662
6,041737556;4,555196762;6,628278255;6,176094532;5,898043633;1,166018009;4,646467686;6,154661655
5,260352135;4,521119118;5,099585056;6,236080647;6,107771873;0,579717159;3,86122489;5,130182743
5,976161957;4,924725533;6,127598286;6,365974426;5,827117443;0,579717159;3,64944315;4,762099743
5,379049301;4,620072842;5,238025665;6,430458546;5,852131367;4,097521782;4,282780647;5,505982876
6,601468563;4,671934128;7,631002903;7,31609726;7,210572243;3,364645958;5,673255444;7,479628563
6,502130985;5,125450134;6,978811741;6,989145279;6,047211647;1,459168315;4,377165318;6,15099144
5,575334549;4,513249397;5,737419605;6,602899551;6,278848171;0,433141947;4,585606098;5,616973877
5,630968094;4,492007256;5,86992836;5,882639885;5,597920418;2,485194683;4,666704655;6,613747597
5,528734684;4,711821556;5,445647717;6,012900352;5,711969376;1,75231874;4,121041775;5,710916996
5,528947353;4,623254299;5,534640312;5,962168217;5,194437027;1,312593102;4,305654526;6,257823944
5,573769569;4,686270237;5,56126833;6,271265507;5,36945343;0,872867584;3,625556231;4,642199039
5,437178612;4,486083508;5,488274097;5,977403641;5,572244167;0,433141947;3,96958518;5,277289867
6,45405817;5,755806446;6,252309799;6,69449091;6,047878265;1,312593102;3,251176596;4,317731857
5,527959824;4,769417763;5,386501312;6,159127235;5,966298103;0,872867584;4,142690659;5,929257393
5,905460358;5,149206161;5,761714935;6,531539917;5,633976936;0,433141947;3,707221985;5,541245461
5,861437798;4,75414896;6,068727016;6,25555706;5,832945347;1,459168315;4,663134575;6,649948597
5,942502975;4,588452339;6,396553993;6,069228172;5,178406715;1,019442797;4,223586082;5,33364439
6,055220604;4,541460514;6,668981075;6,094637871;6,069246769;0,579717159;4,239089012;5,267540455
6,331244469;4,854050159;6,908439159;6,277791977;5,494030952;0,726292372;4,434695244;6,159818649
5,38696003;4,669782639;5,204136848;5,97847271;5,239547253;3,657796144;4,003268242;5,545994282
5,630997658;4,880129337;5,481865883;6,497691154;5,662712097;1,019442797;3,894510269;5,336939812
5,311000824;4,533978939;5,188022614;5,948456764;5,709060669;0,286566854;3,741307974;4,999443054
5,943935394;4,501605988;6,486264229;5,977403164;5,348783493;0,433141947;4,585095406;6,483596325
5,242451668;4,56143856;5,023464203;6,008682728;5,388223648;2,485194683;4,596539497;6,469551086
5,781375408;4,49555397;6,167196751;6,227597237;6,19547081;0,579717159;4,651413441;6,509926796
5,5565238;4,634603024;5,578444481;6,080934525;5,663262844;0,579717159;4,070046425;5,497971535
5,850057602;4,513296604;6,286818504;6,276366711;6,071666718;0,579717159;4,708492279;6,215490341
6,173390865;4,59157753;6,855204105;6,226741791;5,317540169;1,898893952;4,647900105;5,959985256
5,722208023;4,641735077;5,902681351;6,137601376;5,954170704;2,045469046;4,342236519;6,320016861
6,110482216;5,11435318;6,20661068;6,393990517;5,659524918;2,924920321;4,020311356;5,259383202
5,24109602;4,535961628;5,046230316;5,928020477;5,380860329;2,924920321;4,326833248;5,605289459
6,06637764;4,587321281;6,64543438;6,155237675;5,286343575;0,579717159;4,61512661;6,234489918
5,959415913;4,852640152;6,166191578;6,112052441;5,337611675;0,726292372;4,386996269;6,294172764
5,625478268;4,554262638;5,796693802;6,032835484;5,069762707;0,433141947;4,068529606;5,161738396
5,352393627;4,69537878;5,109408379;5,9251647;5,096967697;2,192044258;4,224902153;6,193828583
6,038060188;4,785424709;6,390696049;5,989140034;5,279523849;1,166018009;4,532524109;6,493706226
5,932650566;4,996778488;5,968522549;6,942462921;6,570839882;3,218070507;4,775382519;6,310522556
5,462106705;4,47982645;5,544387341;5,929696083;5,825068474;1,75231874;4,632192135;6,606840611
5,671716213;4,779610157;5,663822174;6,085803986;5,57125473;0,433141947;4,027855396;5,600744724
6,142175198;4,654633045;6,729717255;6,136283875;5,363608837;0,286566854;4,353759289;5,726969242
5,944422245;4,928912163;6,059932232;6,091859341;6,029439449;1,605743527;3,642515659;5,008060932
5,865634918;4,687469006;6,143800259;6,011155605;5,906048775;1,312593102;4,266228199;5,775039673
6,670475006;6,119389057;6,321561337;7,312952518;7,173207283;1,166018009;3,533783436;5,330644608
5,957907677;4,509430408;6,50638485;6,030227184;5,221212387;0,726292372;4,315809727;5,398199558
5,442017078;5,004591465;4,979442596;6,08882618;5,715548992;1,459168315;3,366244555;4,559537411
5,258289337;4,786945343;4,829632759;5,994441509;5,733589649;0,726292372;3,894284964;5,661913395
6,230679035;4,590697765;6,97066021;6,31409359;5,855660439;0,579717159;4,722489357;6,061573505
6,169472694;4,767764091;6,671180725;6,359465599;5,446613789;1,459168315;4,797523022;6,631759167
6,539753914;5,12864542;7,050862312;6,594329357;5,978336334;1,605743527;3,970197201;5,084472656
6,90291214;5,443997383;7,461826801;7,084966183;6,131021023;3,364645958;4,897814751;6,522098541
5,559943199;4,792559147;5,427326679;6,022983551;5,832103729;1,019442797;4,360318184;6,290937424
6,005748749;4,484791279;6,626705647;5,93770647;5,349874973;1,75231874;4,35541296;5,602399349
6,102075577;5,264566898;6,039584637;7,112640381;6,617620468;3,950946569;4,238161564;5,604421139
5,603404045;4,475013733;5,831794262;5,85007;5,219571114;0,433141947;4,530635834;6,365022659
6,039555073;4,503102779;6,676007271;5,984091759;5,274941444;1,605743527;4,700619698;6,504303932
5,745095253;4,512022018;6,078168869;5,950779438;5,365626335;0,579717159;4,097650528;5,248252392
5,27969265;4,615625381;5,0437603;5,920158386;5,116821766;1,75231874;3,959171057;5,831818104
5,56423378;4,995307446;5,233160019;5,889924526;5,866291046;0,726292372;2,943936825;3,983357191
6,502243996;5,051987648;7,052500248;6,581935406;5,778902531;2,045469046;4,071207523;5,321426392
6,527602196;5,043112755;7,112091541;6,378632545;5,661845684;0,726292372;4,286796093;5,504365444
5,558088303;4,861717224;5,354458809;6,039526939;5,264623642;2,631769896;3,830289364;5,367293835
5,714282513;4,537423134;5,991141796;5,950556755;5,562455654;0,726292372;4,229581833;6,05851841
6,705178738;4,897790909;7,612566471;6,815508366;5,890881538;2,485194683;5,380007744;7,305865288
5,948880196;5,211910248;5,785850048;5,982773304;5,53955698;0,872867584;3,373271465;5,099987984
5,918082714;4,768499851;6,167665482;6,706282139;6,421554089;2,778345108;4,416920185;5,707157612
5,209798813;4,494370937;5,02522707;5,940588951;5,195001602;2,045469046;4,448237896;6,131428719
5,80698204;4,904217243;5,809746265;6,240221024;5,453246593;0,433141947;3,551784754;4,776678085
5,936348438;4,480900288;6,491796494;6,043643475;5,520814896;1,75231874;4,596487045;6,401074409
5,411015511;4,548579693;5,373450756;6,038423538;5,661912441;1,166018009;3,721863985;4,989114285
5,502555847;4,788547516;5,316564083;6,477414608;5,664988995;1,019442797;3,774314165;4,955553532
5,891348839;4,532723427;6,349973679;5,948442459;5,822267056;1,166018009;4,184873104;5,662101269
5,50349617;4,886560917;5,220430851;6,136617661;5,844863415;0,286566854;3,431880713;4,674973488
5,906257629;4,624269962;6,288244724;6,085590363;5,448506355;1,166018009;4,385653973;6,05964756
5,517337799;4,749303818;5,385372162;6,046328068;5,419819832;0,286566854;3,96391201;5,706617355
5,386126518;4,666616917;5,205636501;6,27133131;5,550531864;1,459168315;3,95010519;5,709348202
5,379255772;4,614497185;5,244014263;5,913206577;5,74471283;1,605743527;4,336754322;6,013052464
5,489115715;4,752882004;5,325349331;6,070696831;6,041839123;1,166018009;3,897222996;5,018767834
5,491732597;4,679575443;5,403889179;6,131520271;5,908317566;1,605743527;3,802526236;5,02865839
5,211683273;4,47610569;5,047260284;6,158442974;5,801557064;1,605743527;4,529144764;6,503700733
5,288023949;4,634832382;5,041214943;5,954795837;5,338125229;1,312593102;3,902469397;5,753353596
5,756106377;4,759987354;5,852225304;6,197672844;5,20339632;1,898893952;4,21876955;5,806656361
6,928811073;6,569656849;6,387965202;7,024991035;6,90221405;2,778345108;2,775815964;4,288640976
5,878481865;4,583272934;6,273690224;5,906794071;5,559433937;2,778345108;4,437086582;5,616145134
5,756250381;4,898326397;5,714173794;6,379995823;5,583298683;2,924920321;4,033282757;5,456269741
