number of adults,number of children,number of weekend nights,number of week nights,car parking space,lead time,average price,special requests,booking_status,Meal Plan 1,Meal Plan 2,Meal Plan 3,Not Selected,Room_Type 1,Room_Type 2,Room_Type 3,Room_Type 4,Room_Type 5,Room_Type 6,Room_Type 7,Aviation,Complementary,Corporate,Offline,Online
1,1,2,5,0,224,88.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,1,3,0,5,106.68,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,1,1,3,0,1,50.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,211,100.0,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,2,0,48,77.0,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,346,100.0,1,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,1,4,0,34,107.55,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,1,3,0,83,105.61,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,0,4,0,121,96.9,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,5,0,44,133.44,3,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,1,0,0,0,85.03,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2,1,0,35,140.4,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,2,1,0,30,88.0,0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2,0,0,95,90.0,2,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,47,94.5,2,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,256,115.0,1,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,96.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,1,96.0,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,99,65.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,12,72.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,2,2,0,99,65.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,122,67.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,0,2,4,0,2,85.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,37,105.0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,2,1,0,130,94.5,1,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
