Age,Education,Usage,Fitness,Income,Miles,Female,Male,Partnered,Single
18,14,3,4,29562,112,0,1,0,1
19,15,2,3,31836,75,0,1,0,1
19,14,4,3,30699,66,1,0,1,0
19,12,3,3,32973,85,0,1,0,1
20,13,4,2,35247,47,0,1,1,0
20,14,3,3,32973,66,1,0,1,0
21,14,3,3,35247,75,1,0,1,0
21,13,3,3,32973,85,0,1,0,1
21,15,5,4,35247,141,0,1,0,1
21,15,2,3,37521,85,1,0,1,0
22,14,3,3,36384,85,0,1,0,1
22,14,3,2,35247,66,1,0,1,0
22,16,4,3,36384,75,1,0,0,1
22,14,3,3,35247,75,1,0,0,1
23,16,3,1,38658,47,0,1,1,0
23,16,3,3,40932,75,0,1,1,0
23,14,2,3,34110,103,1,0,0,1
23,16,4,3,39795,94,0,1,1,0
23,16,4,3,38658,113,1,0,0,1
23,15,2,2,34110,38,1,0,1,0
23,14,4,3,38658,113,0,1,0,1
23,16,4,3,40932,94,0,1,0,1
24,16,4,3,42069,94,1,0,0,1
24,16,5,5,44343,188,1,0,1,0
24,14,2,3,45480,113,0,1,0,1
24,13,3,2,42069,47,0,1,1,0
24,16,4,3,46617,75,1,0,0,1
25,14,3,3,48891,75,1,0,1,0
25,14,2,3,45480,56,0,1,1,0
25,14,2,2,53439,47,1,0,1,0
25,14,3,3,39795,85,1,0,1,0
25,16,3,4,40932,113,0,1,0,1
25,16,2,2,40932,47,1,0,1,0
25,16,3,3,43206,85,0,1,0,1
26,14,3,4,44343,113,1,0,1,0
26,16,4,3,52302,113,1,0,1,0
26,16,2,2,53439,47,0,1,1,0
26,16,3,3,51165,85,0,1,1,0
26,16,3,3,36384,66,1,0,0,1
26,16,4,4,44343,132,0,1,1,0
26,16,3,3,50028,85,0,1,0,1
27,14,3,2,45480,66,1,0,1,0
27,16,4,3,54576,85,0,1,0,1
27,14,2,3,45480,56,1,0,1,0
28,14,2,3,46617,56,1,0,1,0
28,16,2,3,52302,66,1,0,1,0
28,14,3,3,52302,103,0,1,0,1
28,14,3,3,54576,94,1,0,1,0
28,14,4,3,54576,113,0,1,0,1
28,16,3,3,51165,56,1,0,1,0
29,18,3,3,68220,85,0,1,1,0
29,14,2,2,46617,38,1,0,1,0
29,16,4,3,50028,94,1,0,1,0
30,14,4,4,46617,141,0,1,1,0
30,14,3,3,54576,85,0,1,0,1
31,14,2,2,54576,47,0,1,1,0
31,14,2,2,45480,47,1,0,0,1
32,14,3,4,46617,113,1,0,0,1
32,14,4,3,52302,85,0,1,1,0
33,16,2,2,55713,38,1,0,0,1
33,16,3,3,46617,85,1,0,1,0
34,16,4,5,51165,169,0,1,0,1
34,16,2,2,52302,66,1,0,0,1
35,16,4,3,48891,85,0,1,1,0
35,16,3,3,60261,94,1,0,1,0
35,18,3,3,67083,85,1,0,0,1
36,12,4,3,44343,94,0,1,0,1
37,16,3,3,37521,85,1,0,1,0
38,16,3,3,46617,75,0,1,1,0
38,14,2,3,54576,56,1,0,1,0
38,14,2,3,52302,56,0,1,0,1
38,16,3,3,56850,75,0,1,1,0
39,16,4,4,59124,132,0,1,1,0
40,16,3,3,61398,66,0,1,1,0
41,16,4,3,54576,103,0,1,1,0
43,16,3,3,53439,66,0,1,1,0
44,16,3,4,57987,75,1,0,0,1
46,16,3,2,60261,47,1,0,1,0
47,16,4,3,56850,94,0,1,1,0
50,16,3,3,64809,66,1,0,1,0
19,14,3,3,31836,64,0,1,0,1
20,14,2,3,32973,53,0,1,0,1
20,14,3,3,34110,106,1,0,1,0
20,14,3,3,38658,95,0,1,0,1
21,14,5,4,34110,212,1,0,1,0
