Idade;Anos_experiencia;Renda;Familia;Educacao;Hipoteca;Cartao_credito;Emprestimo_pessoal
25;1;49,0;4;Undergrad;0;0;0
45;19;34,0;3;Undergrad;0;0;0
39;15;11,0;1;Undergrad;0;0;0
35;9;100,0;1;Graduated;0;0;0
35;8;45,0;4;Graduated;0;1;0
37;13;29,0;4;Graduated;155;0;0
53;27;72,0;2;Graduated;0;0;0
50;24;22,0;1;Advanced/Professional;0;1;0
35;10;81,0;3;Graduated;104;0;0
34;9;180,0;1;Advanced/Professional;0;0;1
65;39;105,0;4;Advanced/Professional;0;;0
29;5;45,0;3;Graduated;0;;0
48;23;114,0;2;Advanced/Professional;0;;0
59;32;40,0;4;Graduated;0;;0
67;41;112,0;1;Undergrad;0;;0
60;30;22,0;1;Advanced/Professional;0;;0
38;14;130,0;4;Advanced/Professional;134;;1
42;18;81,0;4;Undergrad;0;;0
;21;193,0;2;Advanced/Professional;0;;1
;28;21,0;1;Graduated;0;;0
;31;25,0;4;Graduated;111;;0
;27;63,0;3;Advanced/Professional;0;;0
;5;62,0;1;Undergrad;260;;0
;18;43,0;2;Undergrad;163;;0
;11;152,0;2;Undergrad;159;;0
;19;29,0;3;Undergrad;97;;0
;16;83,0;4;Advanced/Professional;0;;0
;20;158,0;1;Undergrad;0;;0
;30;48,0;1;Advanced/Professional;0;;0
;13;119,0;1;Graduated;0;;1
;35;35,0;1;Advanced/Professional;122;;0
;16;29,0;1;Graduated;0;;0
;28;41,0;2;Advanced/Professional;193;;0
;6;18,0;3;Advanced/Professional;0;;0
;5;50,0;4;Advanced/Professional;0;;0
;24;81,0;3;Undergrad;0;;0
;35;121,0;1;Undergrad;0;;0
;25;71,0;1;Advanced/Professional;198;;0
;18;141,0;3;Advanced/Professional;0;;1
;13;80,0;4;Advanced/Professional;285;;0
;32;84,0;3;Advanced/Professional;0;;0
;9;60,0;3;Undergrad;0;;0
;7;132,0;4;Graduated;412;;1
;15;45,0;1;Undergrad;0;;0
;20;104,0;1;Undergrad;0;;0
;31;52,0;4;Undergrad;0;;0
;14;43,0;3;Graduated;153;;0
;12;194,0;4;Advanced/Professional;211;;1
;26;81,0;2;Advanced/Professional;0;;0
;16;49,0;1;Undergrad;0;;0
;8;8,0;4;Graduated;0;;0
;37;131,0;1;Undergrad;0;;0
;6;72,0;1;Undergrad;207;;0
;26;190,0;3;Advanced/Professional;240;;1
;5;44,0;1;Advanced/Professional;0;;0
;17;139,0;2;Undergrad;0;;0
;30;29,0;3;Graduated;0;;0
;31;131,0;2;Advanced/Professional;0;;1
;2;93,0;2;Undergrad;0;;0
;5;188,0;2;Undergrad;455;;0
;24;39,0;3;Graduated;0;;0
;21;125,0;1;Undergrad;112;;0
;18;22,0;1;Undergrad;0;;0
;17;32,0;4;Graduated;0;;0
;23;105,0;2;Undergrad;0;;0
;35;131,0;1;Undergrad;0;;0
;36;105,0;2;Undergrad;336;;0
;23;45,0;4;Advanced/Professional;132;;0
;21;60,0;3;Undergrad;0;;0
;29;20,0;4;Undergrad;0;;0
;18;115,0;1;Undergrad;0;;0
;29;69,0;4;Graduated;0;;0
;20;130,0;1;Undergrad;0;;0
;16;85,0;1;Advanced/Professional;0;;0
;3;135,0;2;Undergrad;0;;0
;7;135,0;4;Graduated;0;;1
;32;12,0;3;Advanced/Professional;0;;0
;20;29,0;3;Graduated;0;;0
;30;133,0;2;Advanced/Professional;0;;1
;26;19,0;2;Undergrad;118;;0
;36;41,0;4;Undergrad;174;;0
;22;40,0;3;Graduated;0;;0
;16;82,0;1;Advanced/Professional;0;;0
;9;50,0;1;Graduated;0;;0
;22;18,0;1;Advanced/Professional;0;;0
;2;109,0;4;Advanced/Professional;0;;0
;16;42,0;4;Graduated;126;;0
;22;78,0;3;Undergrad;0;;0
;41;51,0;2;Undergrad;0;;0
;0;113,0;4;Advanced/Professional;0;;0
;30;118,0;4;Graduated;0;;1
;10;29,0;4;Advanced/Professional;0;;0
;19;34,0;3;Graduated;0;;0
;34;64,0;2;Advanced/Professional;236;;0
;39;121,0;1;Undergrad;0;;0
;12;48,0;4;Advanced/Professional;0;;0
;15;80,0;1;Undergrad;0;;0
;28;161,0;1;Undergrad;0;;0
;23;94,0;1;Undergrad;0;;0
;41;15,0;3;Advanced/Professional;0;;0
;23;74,0;1;Undergrad;0;;0
;36;30,0;3;Graduated;0;;0
;23;44,0;3;Advanced/Professional;198;;0
;18;22,0;2;Graduated;0;;0
;32;38,0;4;Undergrad;166;;0
;0;35,0;3;Graduated;0;;0
;17;69,0;4;Undergrad;0;;0
;18;43,0;1;Undergrad;136;;0
;7;32,0;1;Advanced/Professional;166;;0
;17;49,0;1;Undergrad;0;;0
;14;9,0;3;Graduated;0;;0
;38;45,0;4;Graduated;0;;0
;15;82,0;3;Undergrad;309;;0
;34;92,0;2;Undergrad;103;;0
;14;39,0;3;Advanced/Professional;0;;0
;40;81,0;3;Graduated;0;;0
;29;35,0;1;Graduated;0;;0
;33;61,0;2;Advanced/Professional;193;;0
;16;73,0;3;Undergrad;0;;0
;7;112,0;1;Undergrad;366;;0
;29;12,0;2;Advanced/Professional;0;;0
;26;38,0;3;Advanced/Professional;0;;0
;32;73,0;2;Graduated;0;;0
;13;84,0;1;Graduated;0;;0
;15;78,0;4;Undergrad;118;;0
;35;80,0;3;Undergrad;0;;0
;5;115,0;2;Undergrad;101;;0
;8;82,0;1;Graduated;251;;0
;14;74,0;2;Undergrad;0;;0
;16;70,0;3;Advanced/Professional;0;;0
;4;81,0;3;Undergrad;276;;0
;34;149,0;4;Graduated;0;;1
;1;51,0;2;Advanced/Professional;0;;0
;4;39,0;3;Graduated;0;;0
;29;98,0;3;Graduated;0;;0
;33;45,0;4;Undergrad;0;;0
;32;49,0;4;Graduated;0;;0
;25;128,0;2;Undergrad;0;;0
;34;42,0;3;Undergrad;0;;0
;35;18,0;1;Advanced/Professional;0;;0
;25;31,0;2;Advanced/Professional;161;;0
;11;58,0;3;Undergrad;149;;0
;9;48,0;1;Advanced/Professional;0;;0
;1;54,0;4;Undergrad;0;;0
;23;70,0;2;Graduated;0;;0
;35;124,0;1;Undergrad;0;;0
;19;84,0;1;Graduated;0;;0
;25;83,0;4;Advanced/Professional;188;;0
;28;163,0;2;Undergrad;116;;0
;22;42,0;3;Graduated;0;;0
;22;118,0;2;Undergrad;0;;0
;0;132,0;3;Advanced/Professional;0;;1
;32;24,0;1;Undergrad;0;;0
;36;22,0;2;Undergrad;0;;0
;29;58,0;4;Advanced/Professional;0;;0
;0;60,0;4;Undergrad;0;;0
;0;15,0;4;Undergrad;0;;0
;17;83,0;4;Undergrad;0;;0
;6;79,0;2;Advanced/Professional;0;;0
;35;41,0;4;Graduated;0;;0
;0;134,0;4;Advanced/Professional;0;;1
;35;80,0;2;Undergrad;0;;0
;12;52,0;1;Undergrad;0;;0
;4;70,0;4;Undergrad;0;;0
;27;92,0;2;Undergrad;0;;0
;1;43,0;1;Undergrad;0;;0
;1;21,0;3;Graduated;0;;0
;9;23,0;3;Advanced/Professional;0;;0
;26;13,0;4;Undergrad;0;;0
;1;112,0;4;Advanced/Professional;0;;0
;1;138,0;2;Undergrad;0;;0
;28;11,0;3;Undergrad;0;;0
;13;171,0;2;Undergrad;0;;0
;34;42,0;4;Undergrad;0;;0
;17;168,0;2;Graduated;0;;1
;20;85,0;4;Graduated;0;;0
;25;44,0;3;Graduated;135;;0
;3;65,0;4;Graduated;244;;0
;29;24,0;4;Undergrad;0;;0
;37;11,0;1;Undergrad;0;;0
;27;38,0;2;Advanced/Professional;164;;0
;12;10,0;4;Graduated;81;;0
;0;135,0;1;Undergrad;0;;0
;3;148,0;3;Undergrad;0;;1
;26;63,0;2;Graduated;0;;0
;14;115,0;1;Advanced/Professional;0;;0
;23;45,0;1;Undergrad;0;;0
;21;159,0;3;Advanced/Professional;315;;1
;40;169,0;2;Undergrad;122;;0
;29;112,0;2;Undergrad;0;;0
;36;93,0;1;Undergrad;0;;0
;25;29,0;1;Advanced/Professional;140;;0
;23;85,0;1;Graduated;0;;0
;24;21,0;4;Undergrad;0;;0
;29;144,0;2;Undergrad;0;;0
;10;13,0;4;Undergrad;95;;0
;24;165,0;1;Undergrad;0;;0
;31;9,0;4;Undergrad;89;;0
;3;59,0;4;Undergrad;90;;0
;11;158,0;1;Advanced/Professional;0;;1
;6;29,0;1;Advanced/Professional;0;;0
;9;20,0;2;Advanced/Professional;0;;0
;3;68,0;4;Graduated;0;;0
;34;65,0;4;Undergrad;0;;0
;31;61,0;2;Graduated;105;;0
;12;91,0;4;Graduated;100;;0
;25;31,0;1;Undergrad;0;;0
;10;71,0;4;Graduated;0;;0
;16;73,0;4;Undergrad;0;;0
;39;172,0;4;Undergrad;282;;1
;26;20,0;2;Undergrad;0;;0
;18;55,0;1;Undergrad;0;;0
;22;69,0;2;Undergrad;209;;0
;33;155,0;1;Undergrad;0;;0
;28;94,0;1;Graduated;0;;0
;14;92,0;2;Undergrad;249;;0
;3;125,0;2;Undergrad;0;;0
;14;74,0;3;Undergrad;0;;0
;20;72,0;3;Advanced/Professional;0;;0
;30;61,0;1;Advanced/Professional;0;;0
;6;25,0;2;Undergrad;0;;0
;19;83,0;2;Graduated;0;;0
;2;104,0;3;Undergrad;0;;0
;25;41,0;3;Advanced/Professional;0;;0
;27;58,0;4;Advanced/Professional;91;;0
;13;93,0;1;Advanced/Professional;0;;0
;0;39,0;2;Graduated;0;;0
;23;148,0;2;Undergrad;0;;0
;22;53,0;4;Advanced/Professional;98;;0
;24;71,0;2;Undergrad;145;;0
;22;92,0;1;Graduated;0;;0
;10;61,0;4;Advanced/Professional;0;;0
;19;38,0;3;Graduated;135;;0
;37;58,0;4;Undergrad;0;;0
;1;80,0;1;Graduated;150;;0
;8;71,0;4;Advanced/Professional;0;;0
;18;89,0;3;Advanced/Professional;0;;0
;38;83,0;1;Advanced/Professional;0;;0
;32;28,0;3;Undergrad;0;;0
;3;52,0;4;Graduated;0;;0
;26;70,0;1;Undergrad;169;;0
;22;71,0;1;Advanced/Professional;0;;0
;16;75,0;1;Advanced/Professional;280;;0
;39;170,0;3;Advanced/Professional;99;;1
;17;78,0;4;Undergrad;78;;0
;11;25,0;2;Graduated;0;;0
