Estudo; Renda;UF;SEXO;Idade;Altura
5;R$ 1.200;PR;M;45;2,02
1;R$ 788;BA;M;48;2,01
16;R$ 1.400;PR;F;36;2,00
1;R$ 480;PE;F;54;2,00
12;R$ 1.600;SP;M;32;2,00
13;R$ 1.000;RN;F;52;1,99
12;R$ 2.000;RS;F;33;1,99
6;R$ 750;MG;M;54;1,99
11;R$ 100;MA;M;30;1,99
16;R$ 1.500;PE;M;51;1,98
6;R$ 1.600;RJ;M;36;1,98
13;R$ 2.500;RS;M;39;1,98
16;R$ 1.540;MG;F;51;1,98
1;R$ 100;MG;F;75;1,98
5;R$ 788;SC;F;52;1,98
5;R$ 788;PE;M;47;1,98
12;R$ 800;SE;M;40;1,98
9;R$ 1.350;PR;F;21;1,98
16;R$ 2.200;SP;F;50;1,98
12;R$ 788;AP;M;25;1,97
16;R$ 9.000;PE;M;46;1,97
12;R$ 2.500;TO;M;38;1,97
9;R$ 300;MA;M;36;1,97
8;R$ 850;AP;F;39;1,97
8;R$ 1.500;PR;M;43;1,97
12;R$ 5.000;SP;M;63;1,97
12;R$ 2.500;RS;F;60;1,97
12;R$ 788;PE;M;57;1,97
16;R$ 1.700;MT;M;36;1,97
16;R$ 7.000;RS;M;57;1,97
5;R$ 250;MG;F;69;1,97
9;R$ 2.000;MA;F;47;1,97
3;R$ 1.500;SC;M;69;1,96
12;R$ 6.000;RS;M;64;1,96
4;R$ 1.000;SP;M;58;1,96
12;R$ 2.700;MS;M;33;1,96
1;R$ 4.000;PE;F;64;1,96
14;R$ 1.270;AP;F;32;1,96
14;R$ 2.364;RJ;M;42;1,96
12;R$ 878;SP;F;50;1,96
13;R$ 1.800;PA;M;23;1,96
12;R$ 1.990;PR;M;39;1,96
2;R$ 200;TO;F;50;1,95
11;R$ 1.500;PA;M;40;1,95
7;R$ 1.230;GO;M;32;1,95
16;R$ 8.000;SP;M;37;1,95
5;R$ 788;MG;F;51;1,95
9;R$ 2.000;SC;M;61;1,95
5;R$ 1.800;AP;M;45;1,95
5;R$ 788;CE;F;53;1,95
10;R$ 2.400;PR;M;52;1,95
1;R$ 1.400;SE;M;46;1,95
8;R$ 5.000;SP;M;62;1,95
16;R$ 16.000;BA;M;63;1,95
6;R$ 900;BA;M;27;1,95
8;R$ 600;MA;M;32;1,95
10;R$ 1.800;SP;M;28;1,95
6;R$ 1.000;PI;M;35;1,95
4;R$ 2.000;ES;M;30;1,95
12;R$ 4.500;PA;M;43;1,95
12;R$ 2.200;SP;M;27;1,95
1;R$ 200;CE;F;65;1,95
16;R$ 3.000;RS;F;57;1,94
9;R$ 1.000;RJ;M;29;1,94
6;R$ 1.100;BA;M;36;1,94
6;R$ 2.000;PR;M;53;1,94
12;R$ 2.500;MA;M;67;1,94
16;R$ 2.600;CE;F;35;1,94
16;R$ 5.800;AP;M;58;1,94
17;R$ 5.000;PR;M;31;1,94
9;R$ 1.000;SC;M;32;1,94
8;R$ 2.000;BA;M;56;1,94
5;R$ 160;MG;F;45;1,94
8;R$ 1.050;RS;F;53;1,94
12;R$ 3.700;PA;M;32;1,94
12;R$ 1.500;PB;M;35;1,94
6;R$ 1.000;RS;M;42;1,94
12;R$ 1.700;MG;M;19;1,94
12;R$ 4.500;RS;M;35;1,94
16;R$ 1.000;RR;M;29;1,94
1;R$ 788;MG;F;39;1,94
5;R$ 430;RN;F;43;1,94
16;R$ 9.000;SC;M;63;1,94
16;R$ 4.000;MT;F;35;1,94
5;R$ 788;SP;F;64;1,94
5;R$ 720;MS;F;41;1,94
14;R$ 3.000;RS;F;49;1,94
12;R$ 2.200;PR;F;52;1,94
1;R$ 200;MA;M;41;1,94
9;R$ 1.800;RS;M;30;1,94
9;R$ 790;RS;F;60;1,94
12;R$ 1.200;SP;M;50;1,94
10;R$ 1.100;RS;M;31;1,94
6;R$ 200;RN;F;58;1,94
13;R$ 2.100;PR;M;43;1,94
7;R$ 1.000;SC;M;29;1,94
9;R$ 1.600;SP;M;44;1,94
12;R$ 2.200;SP;M;30;1,94
15;R$ 1.300;RJ;F;40;1,94
14;R$ 1.400;PE;M;38;1,94
6;R$ 1.200;DF;M;54;1,94
16;R$ 1.800;TO;M;50;1,94
7;R$ 2.300;CE;M;64;1,94
12;R$ 1.500;RS;F;49;1,93
11;R$ 2.000;MG;M;21;1,93
16;R$ 2.000;RS;M;40;1,93
12;R$ 788;PE;F;48;1,93
12;R$ 900;SP;F;30;1,93
5;R$ 2.000;RO;M;50;1,93
16;R$ 4.000;MG;M;32;1,93
1;R$ 280;MA;F;45;1,93
12;R$ 1.700;SP;M;42;1,93
16;R$ 1.400;PI;F;41;1,93
13;R$ 2.000;PR;M;51;1,93
10;R$ 250;GO;F;47;1,93
12;R$ 900;BA;M;46;1,93
9;R$ 850;GO;F;55;1,93
16;R$ 1.100;AP;M;28;1,93
9;R$ 2.000;AP;M;38;1,93
14;R$ 2.100;PE;M;45;1,93
12;R$ 5.000;ES;M;43;1,93
13;R$ 1.200;PE;M;51;1,93
12;R$ 1.500;AC;F;46;1,93
12;R$ 1.500;CE;M;39;1,93
6;R$ 860;BA;F;52;1,93
4;R$ 500;PA;M;44;1,93
12;R$ 1.576;MG;F;49;1,93
2;R$ 350;AP;M;48;1,93
13;R$ 2.500;RJ;F;43;1,93
6;R$ 788;BA;M;37;1,93
9;R$ 1.600;RS;M;59;1,93
5;R$ 1.580;SC;M;55;1,93
16;R$ 7.000;DF;M;65;1,93
7;R$ 170;MA;M;27;1,93
16;R$ 1.600;RS;F;61;1,93
2;R$ 788;BA;M;48;1,93
4;R$ 800;RJ;F;65;1,93
13;R$ 1.500;GO;M;66;1,93
8;R$ 1.000;TO;M;37;1,93
13;R$ 2.700;PR;M;54;1,93
13;R$ 1.200;GO;M;31;1,93
16;R$ 1.500;CE;F;30;1,93
12;R$ 1.100;SP;F;43;1,93
5;R$ 550;PI;M;45;1,93
5;R$ 1.200;PE;M;59;1,93
16;R$ 5.000;PR;M;49;1,93
5;R$ 300;AL;M;34;1,93
12;R$ 1.400;SP;M;45;1,93
10;R$ 800;MG;M;31;1,93
6;R$ 1.000;PR;M;45;1,93
12;R$ 900;PA;M;38;1,93
3;R$ 1.800;RS;M;42;1,93
9;R$ 800;GO;F;55;1,93
12;R$ 1.200;RJ;F;56;1,93
5;R$ 2.026;PR;M;51;1,92
12;R$ 2.000;GO;M;38;1,92
12;R$ 3.500;ES;M;61;1,92
12;R$ 1.100;RO;F;38;1,92
1;R$ 700;BA;M;56;1,92
3;R$ 788;AL;M;37;1,92
9;R$ 1.134;MG;M;52;1,92
16;R$ 15.000;MS;M;60;1,92
3;R$ 1.200;SP;M;32;1,92
2;R$ 820;PR;M;55;1,92
16;R$ 2.000;SC;F;40;1,92
12;R$ 200;PA;M;23;1,92
5;R$ 1.200;SP;M;49;1,92
12;R$ 788;BA;M;56;1,92
12;R$ 800;PR;M;35;1,92
12;R$ 788;SE;M;32;1,92
4;R$ 1.200;PR;M;51;1,92
5;R$ 700;PA;F;55;1,92
2;R$ 788;PA;M;34;1,92
8;R$ 300;PE;M;45;1,92
16;R$ 5.000;PR;M;58;1,92
12;R$ 900;MG;F;52;1,92
8;R$ 784;TO;M;60;1,92
3;R$ 1.200;BA;M;46;1,92
16;R$ 4.250;PB;F;52;1,92
9;R$ 1.000;GO;M;22;1,92
1;R$ 850;MS;F;36;1,92
12;R$ 2.500;SP;M;34;1,92
13;R$ 2.500;RO;M;50;1,92
12;R$ 788;BA;M;33;1,92
12;R$ 788;MG;M;42;1,92
1;R$ 788;PE;M;52;1,92
12;R$ 3.600;MG;M;44;1,92
3;R$ 3.000;PA;M;65;1,92
6;R$ 350;RJ;M;80;1,92
11;R$ 400;MA;M;28;1,92
16;R$ 4.000;RO;F;43;1,92
6;R$ 1.000;PA;M;27;1,92
14;R$ 1.200;SP;F;49;1,92
12;R$ 120;MA;F;31;1,92
12;R$ 930;AL;M;55;1,92
1;R$ 788;DF;M;41;1,92
13;R$ 1.800;SP;M;28;1,92
3;R$ 85;MA;M;55;1,92
16;R$ 2.500;MS;M;38;1,92
12;R$ 4.000;SP;M;43;1,92
12;R$ 1.182;SP;F;28;1,92
15;R$ 3.000;SP;F;55;1,92
16;R$ 43.000;RJ;M;44;1,92
12;R$ 800;BA;M;34;1,92
3;R$ 788;MG;M;41;1,92
8;R$ 2.000;SP;F;37;1,92
12;R$ 2.300;RS;M;32;1,92
12;R$ 900;RS;F;49;1,92
15;R$ 1.010;MS;F;45;1,92
7;R$ 70;CE;F;57;1,92
9;R$ 1.500;PR;M;40;1,92
14;R$ 250;PB;M;47;1,92
6;R$ 600;BA;M;63;1,92
2;R$ 900;MA;M;34;1,92
12;R$ 500;PI;F;36;1,92
15;R$ 3.000;RO;M;46;1,92
12;R$ 3.500;MG;M;46;1,92
6;R$ 2.800;MT;M;25;1,92
10;R$ 2.500;MS;M;22;1,92
1;R$ 1.000;SP;M;58;1,92
12;R$ 1.576;AL;M;33;1,92
15;R$ 1.090;PR;F;22;1,92
12;R$ 1.109;DF;M;47;1,92
1;R$ 600;AL;F;39;1,92
5;R$ 3.000;BA;M;65;1,92
12;R$ 788;RN;F;34;1,91
10;R$ 1.000;AP;M;56;1,91
5;R$ 1.700;MG;M;52;1,91
8;R$ 300;PR;M;59;1,91
11;R$ 1.000;PI;M;52;1,91
7;R$ 2.000;RJ;M;36;1,91
16;R$ 7.000;MG;F;36;1,91
6;R$ 1.200;RJ;M;36;1,91
1;R$ 1.000;AP;F;53;1,91
12;R$ 1.500;MG;M;29;1,91
11;R$ 1.200;SP;F;49;1,91
10;R$ 788;PE;M;35;1,91
10;R$ 2.100;PA;F;30;1,91
16;R$ 3.000;MG;M;45;1,91
1;R$ 1.350;MG;M;52;1,91
9;R$ 850;BA;M;35;1,91
8;R$ 2.300;CE;M;43;1,91
7;R$ 3.200;SP;M;52;1,91
16;R$ 8.000;AP;M;67;1,91
12;R$ 600;BA;F;46;1,91
2;R$ 400;TO;M;59;1,91
10;R$ 800;BA;F;34;1,91
8;R$ 350;AP;M;44;1,91
4;R$ 980;MS;M;63;1,91
16;R$ 1.000;RJ;F;59;1,91
12;R$ 788;PA;M;26;1,91
7;R$ 100;CE;F;51;1,91
16;R$ 2.000;AC;M;25;1,91
3;R$ 1.500;MS;M;69;1,91
5;R$ 500;MG;M;65;1,91
1;R$ 788;CE;M;65;1,91
1;R$ 350;BA;M;50;1,91
9;R$ 1.000;MS;M;66;1,91
12;R$ 1.500;PA;M;40;1,91
12;R$ 4.000;MA;M;54;1,91
9;R$ 2.780;RJ;M;43;1,91
16;R$ 1.500;SC;F;38;1,91
5;R$ 850;MS;M;47;1,91
6;R$ 900;MT;M;33;1,91
16;R$ 1.400;GO;F;35;1,91
9;R$ 1.400;BA;M;57;1,91
4;R$ 240;PB;M;25;1,91
16;R$ 5.000;PA;M;49;1,91
12;R$ 1.400;SP;M;49;1,91
12;R$ 1.000;BA;F;45;1,91
8;R$ 2.300;PR;F;42;1,91
9;R$ 1.500;RJ;M;40;1,91
1;R$ 1.500;SP;M;67;1,91
16;R$ 1.000;MG;F;59;1,91
