Estudo,Renda,UF,Genero,Idade,Altura
5,1200.0,PR,M,45,2.02
1,788.0,BA,M,48,2.01
16,1400.0,PR,F,36,2.0
1,480.0,PE,F,54,2.0
12,1600.0,SP,M,32,2.0
13,1000.0,RN,F,52,1.99
12,2000.0,RS,F,33,1.99
6,750.0,MG,M,54,1.99
11,100.0,MA,M,30,1.99
16,1500.0,PE,M,51,1.98
6,1600.0,RJ,M,36,1.98
13,2500.0,RS,M,39,1.98
16,1540.0,MG,F,51,1.98
1,100.0,MG,F,75,1.98
5,788.0,SC,F,52,1.98
5,788.0,PE,M,47,1.98
12,800.0,SE,M,40,1.98
9,1350.0,PR,F,21,1.98
16,2200.0,SP,F,50,1.98
12,788.0,AP,M,25,1.97
16,9000.0,PE,M,46,1.97
12,2500.0,TO,M,38,1.97
9,300.0,MA,M,36,1.97
8,850.0,AP,F,39,1.97
8,1500.0,PR,M,43,1.97
12,5000.0,SP,M,63,1.97
12,2500.0,RS,F,60,1.97
12,788.0,PE,M,57,1.97
16,1700.0,MT,M,36,1.97
16,7000.0,RS,M,57,1.97
5,250.0,MG,F,69,1.97
9,2000.0,MA,F,47,1.97
3,1500.0,SC,M,69,1.96
12,6000.0,RS,M,64,1.96
4,1000.0,SP,M,58,1.96
12,2700.0,MS,M,33,1.96
1,4000.0,PE,F,64,1.96
14,1270.0,AP,F,32,1.96
14,2364.0,RJ,M,42,1.96
12,878.0,SP,F,50,1.96
13,1800.0,PA,M,23,1.96
12,1990.0,PR,M,39,1.96
2,200.0,TO,F,50,1.95
11,1500.0,PA,M,40,1.95
7,1230.0,GO,M,32,1.95
16,8000.0,SP,M,37,1.95
5,788.0,MG,F,51,1.95
9,2000.0,SC,M,61,1.95
5,1800.0,AP,M,45,1.95
5,788.0,CE,F,53,1.95
10,2400.0,PR,M,52,1.95
1,1400.0,SE,M,46,1.95
8,5000.0,SP,M,62,1.95
16,16000.0,BA,M,63,1.95
6,900.0,BA,M,27,1.95
8,600.0,MA,M,32,1.95
10,1800.0,SP,M,28,1.95
6,1000.0,PI,M,35,1.95
4,2000.0,ES,M,30,1.95
12,4500.0,PA,M,43,1.95
12,2200.0,SP,M,27,1.95
1,200.0,CE,F,65,1.95
16,3000.0,RS,F,57,1.94
9,1000.0,RJ,M,29,1.94
6,1100.0,BA,M,36,1.94
6,2000.0,PR,M,53,1.94
12,2500.0,MA,M,67,1.94
16,2600.0,CE,F,35,1.94
16,5800.0,AP,M,58,1.94
17,5000.0,PR,M,31,1.94
9,1000.0,SC,M,32,1.94
8,2000.0,BA,M,56,1.94
5,160.0,MG,F,45,1.94
8,1050.0,RS,F,53,1.94
12,3700.0,PA,M,32,1.94
12,1500.0,PB,M,35,1.94
6,1000.0,RS,M,42,1.94
12,1700.0,MG,M,19,1.94
12,4500.0,RS,M,35,1.94
16,1000.0,RR,M,29,1.94
1,788.0,MG,F,39,1.94
5,430.0,RN,F,43,1.94
16,9000.0,SC,M,63,1.94
16,4000.0,MT,F,35,1.94
5,788.0,SP,F,64,1.94
5,720.0,MS,F,41,1.94
14,3000.0,RS,F,49,1.94
12,2200.0,PR,F,52,1.94
1,200.0,MA,M,41,1.94
9,1800.0,RS,M,30,1.94
9,790.0,RS,F,60,1.94
12,1200.0,SP,M,50,1.94
10,1100.0,RS,M,31,1.94
6,200.0,RN,F,58,1.94
13,2100.0,PR,M,43,1.94
7,1000.0,SC,M,29,1.94
9,1600.0,SP,M,44,1.94
12,2200.0,SP,M,30,1.94
15,1300.0,RJ,F,40,1.94
14,1400.0,PE,M,38,1.94
6,1200.0,DF,M,54,1.94
16,1800.0,TO,M,50,1.94
7,2300.0,CE,M,64,1.94
12,1500.0,RS,F,49,1.93
11,2000.0,MG,M,21,1.93
16,2000.0,RS,M,40,1.93
12,788.0,PE,F,48,1.93
12,900.0,SP,F,30,1.93
5,2000.0,RO,M,50,1.93
16,4000.0,MG,M,32,1.93
1,280.0,MA,F,45,1.93
12,1700.0,SP,M,42,1.93
16,1400.0,PI,F,41,1.93
13,2000.0,PR,M,51,1.93
10,250.0,GO,F,47,1.93
12,900.0,BA,M,46,1.93
9,850.0,GO,F,55,1.93
16,1100.0,AP,M,28,1.93
9,2000.0,AP,M,38,1.93
14,2100.0,PE,M,45,1.93
12,5000.0,ES,M,43,1.93
13,1200.0,PE,M,51,1.93
12,1500.0,AC,F,46,1.93
12,1500.0,CE,M,39,1.93
6,860.0,BA,F,52,1.93
4,500.0,PA,M,44,1.93
12,1576.0,MG,F,49,1.93
2,350.0,AP,M,48,1.93
13,2500.0,RJ,F,43,1.93
6,788.0,BA,M,37,1.93
9,1600.0,RS,M,59,1.93
5,1580.0,SC,M,55,1.93
16,7000.0,DF,M,65,1.93
7,170.0,MA,M,27,1.93
16,1600.0,RS,F,61,1.93
2,788.0,BA,M,48,1.93
4,800.0,RJ,F,65,1.93
13,1500.0,GO,M,66,1.93
8,1000.0,TO,M,37,1.93
13,2700.0,PR,M,54,1.93
13,1200.0,GO,M,31,1.93
16,1500.0,CE,F,30,1.93
12,1100.0,SP,F,43,1.93
5,550.0,PI,M,45,1.93
5,1200.0,PE,M,59,1.93
16,5000.0,PR,M,49,1.93
5,300.0,AL,M,34,1.93
12,1400.0,SP,M,45,1.93
10,800.0,MG,M,31,1.93
6,1000.0,PR,M,45,1.93
12,900.0,PA,M,38,1.93
3,1800.0,RS,M,42,1.93
9,800.0,GO,F,55,1.93
12,1200.0,RJ,F,56,1.93
5,2026.0,PR,M,51,1.92
12,2000.0,GO,M,38,1.92
12,3500.0,ES,M,61,1.92
12,1100.0,RO,F,38,1.92
1,700.0,BA,M,56,1.92
3,788.0,AL,M,37,1.92
9,1134.0,MG,M,52,1.92
16,15000.0,MS,M,60,1.92
3,1200.0,SP,M,32,1.92
2,820.0,PR,M,55,1.92
16,2000.0,SC,F,40,1.92
12,200.0,PA,M,23,1.92
5,1200.0,SP,M,49,1.92
12,788.0,BA,M,56,1.92
12,800.0,PR,M,35,1.92
12,788.0,SE,M,32,1.92
4,1200.0,PR,M,51,1.92
5,700.0,PA,F,55,1.92
2,788.0,PA,M,34,1.92
8,300.0,PE,M,45,1.92
16,5000.0,PR,M,58,1.92
12,900.0,MG,F,52,1.92
8,784.0,TO,M,60,1.92
3,1200.0,BA,M,46,1.92
16,4250.0,PB,F,52,1.92
9,1000.0,GO,M,22,1.92
1,850.0,MS,F,36,1.92
12,2500.0,SP,M,34,1.92
13,2500.0,RO,M,50,1.92
12,788.0,BA,M,33,1.92
12,788.0,MG,M,42,1.92
1,788.0,PE,M,52,1.92
12,3600.0,MG,M,44,1.92
3,3000.0,PA,M,65,1.92
6,350.0,RJ,M,80,1.92
11,400.0,MA,M,28,1.92
16,4000.0,RO,F,43,1.92
6,1000.0,PA,M,27,1.92
14,1200.0,SP,F,49,1.92
12,120.0,MA,F,31,1.92
12,930.0,AL,M,55,1.92
1,788.0,DF,M,41,1.92
13,1800.0,SP,M,28,1.92
3,85.0,MA,M,55,1.92
16,2500.0,MS,M,38,1.92
12,4000.0,SP,M,43,1.92
12,1182.0,SP,F,28,1.92
15,3000.0,SP,F,55,1.92
16,43000.0,RJ,M,44,1.92
12,800.0,BA,M,34,1.92
3,788.0,MG,M,41,1.92
8,2000.0,SP,F,37,1.92
12,2300.0,RS,M,32,1.92
12,900.0,RS,F,49,1.92
15,1010.0,MS,F,45,1.92
7,70.0,CE,F,57,1.92
9,1500.0,PR,M,40,1.92
14,250.0,PB,M,47,1.92
6,600.0,BA,M,63,1.92
2,900.0,MA,M,34,1.92
12,500.0,PI,F,36,1.92
15,3000.0,RO,M,46,1.92
12,3500.0,MG,M,46,1.92
6,2800.0,MT,M,25,1.92
10,2500.0,MS,M,22,1.92
1,1000.0,SP,M,58,1.92
12,1576.0,AL,M,33,1.92
15,1090.0,PR,F,22,1.92
12,1109.0,DF,M,47,1.92
1,600.0,AL,F,39,1.92
5,3000.0,BA,M,65,1.92
12,788.0,RN,F,34,1.91
10,1000.0,AP,M,56,1.91
5,1700.0,MG,M,52,1.91
8,300.0,PR,M,59,1.91
11,1000.0,PI,M,52,1.91
7,2000.0,RJ,M,36,1.91
16,7000.0,MG,F,36,1.91
6,1200.0,RJ,M,36,1.91
1,1000.0,AP,F,53,1.91
12,1500.0,MG,M,29,1.91
11,1200.0,SP,F,49,1.91
10,788.0,PE,M,35,1.91
10,2100.0,PA,F,30,1.91
16,3000.0,MG,M,45,1.91
1,1350.0,MG,M,52,1.91
9,850.0,BA,M,35,1.91
8,2300.0,CE,M,43,1.91
7,3200.0,SP,M,52,1.91
16,8000.0,AP,M,67,1.91
12,600.0,BA,F,46,1.91
2,400.0,TO,M,59,1.91
10,800.0,BA,F,34,1.91
8,350.0,AP,M,44,1.91
4,980.0,MS,M,63,1.91
16,1000.0,RJ,F,59,1.91
12,788.0,PA,M,26,1.91
7,100.0,CE,F,51,1.91
16,2000.0,AC,M,25,1.91
3,1500.0,MS,M,69,1.91
5,500.0,MG,M,65,1.91
1,788.0,CE,M,65,1.91
1,350.0,BA,M,50,1.91
9,1000.0,MS,M,66,1.91
12,1500.0,PA,M,40,1.91
12,4000.0,MA,M,54,1.91
9,2780.0,RJ,M,43,1.91
16,1500.0,SC,F,38,1.91
5,850.0,MS,M,47,1.91
6,900.0,MT,M,33,1.91
16,1400.0,GO,F,35,1.91
9,1400.0,BA,M,57,1.91
4,240.0,PB,M,25,1.91
16,5000.0,PA,M,49,1.91
12,1400.0,SP,M,49,1.91
12,1000.0,BA,F,45,1.91
8,2300.0,PR,F,42,1.91
9,1500.0,RJ,M,40,1.91
1,1500.0,SP,M,67,1.91
16,1000.0,MG,F,59,1.91
5,500.0,TO,M,39,1.91
2,500.0,BA,M,49,1.91
6,928.0,CE,M,41,1.91
16,788.0,AL,F,30,1.91
6,800.0,RJ,M,64,1.91
2,200.0,PE,M,85,1.91
12,1000.0,TO,M,56,1.91
13,2000.0,BA,F,39,1.91
6,2000.0,PR,M,42,1.91
8,700.0,ES,F,24,1.91
