id,car_name,brand,model,new_price,min_cost_price,max_cost_price,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
0,Maruti Alto,Maruti,Alto,,,,9,120000,Individual,Petrol,Manual,19.7,796,46.3,5,120000
1,Hyundai Grand,Hyundai,Grand,New Car (On-Road Price) : Rs.7.11-7.48 Lakh*,711000,748000,5,20000,Individual,Petrol,Manual,18.9,1197,82,5,550000
2,Hyundai i20,Hyundai,i20,,,,11,60000,Individual,Petrol,Manual,17,1197,80,5,215000
3,Maruti Alto,Maruti,Alto,,,,9,37000,Individual,Petrol,Manual,20.92,998,67.1,5,226000
4,Ford Ecosport,Ford,Ecosport,New Car (On-Road Price) : Rs.10.14-13.79 Lakh*,1014000,1379000,6,30000,Dealer,Diesel,Manual,22.77,1498,98.59,5,570000
5,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,516000,694000,8,35000,Individual,Petrol,Manual,18.9,998,67.1,5,350000
6,Hyundai i10,Hyundai,i10,New Car (On-Road Price) : Rs.6.54-6.63 Lakh*,654000,663000,8,40000,Dealer,Petrol,Manual,20.36,1197,78.9,5,315000
7,Maruti Wagon R,Maruti,Wagon R,New Car (On-Road Price) : Rs.5.26-7.01 Lakh*,526000,701000,3,17512,Dealer,Petrol,Manual,20.51,998,67.04,5,410000
8,Hyundai Venue,Hyundai,Venue,New Car (On-Road Price) : Rs.7.70-13.02 Lakh*,770000,1302000,2,20000,Individual,Petrol,Automatic,18.15,998,118.35,5,1050000
9,Mahindra TUV,Mahindra,TUV,,,,4,70000,Dealer,Diesel,Manual,18.49,1493,100,7,575000
10,Tata Indigo,Tata,Indigo,,,,6,50000,Individual,Diesel,Manual,19.09,1405,69.01,5,305000
11,Renault Captur,Renault,Captur,,,,2,18000,Individual,Diesel,Manual,20.37,1461,108.49,5,1150000
12,Maruti Swift,Maruti,Swift,New Car (On-Road Price) : Rs.6.35-9.27 Lakh*,635000,927000,4,28321,Dealer,Petrol,Manual,16.6,1197,85,5,511000
13,Nissan Micra,Nissan,Micra,,,,5,27000,Dealer,Petrol,Automatic,19.34,1198,76,5,410000
14,Hyundai Verna,Hyundai,Verna,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,1309000,1829000,8,65278,Dealer,Diesel,Manual,22.32,1582,126.32,5,425000
15,Renault Duster,Renault,Duster,,,,5,50000,Individual,Diesel,Manual,19.64,1461,108.45,5,750000
16,Mini Cooper,Mini,Cooper,,,,4,6000,Dealer,Petrol,Automatic,14.41,1998,189.08,5,3250000
17,Maruti Ciaz,Maruti,Ciaz,,,,5,76000,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000
18,Maruti Swift,Maruti,Swift,,,,5,20000,Individual,Diesel,Manual,25.2,1248,74,5,627000
19,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,New Car (On-Road Price) : Rs.51.30-64.08 Lakh*,5130000,6408000,7,65000,Dealer,Diesel,Automatic,19.27,2143,170,5,1425000
20,Maruti Swift,Maruti,Swift,,,,7,62200,Dealer,Diesel,Manual,28.4,1248,74,5,425000
21,Toyota Innova,Toyota,Innova,,,,8,110000,Individual,Diesel,Manual,12.99,2494,100.6,8,605000
22,Maruti Baleno,Maruti,Baleno,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,681000,1054000,6,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
23,Maruti Swift Dzire,Maruti,Swift Dzire,New Car (On-Road Price) : Rs.6.98-10.40 Lakh*,698000,1040000,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,575000
24,Fiat Grande,Fiat,Grande,,,,9,97000,Individual,Diesel,Manual,17.8,1248,76,5,260000
25,Volkswagen Vento,Volkswagen,Vento,New Car (On-Road Price) : Rs.10.12-16.08 Lakh*,1012000,1608000,8,47000,Dealer,Petrol,Manual,16.09,1598,103.2,5,425000
26,Maruti Alto,Maruti,Alto,,,,8,25000,Dealer,Petrol,Manual,20.92,998,67.1,5,230000
27,Hyundai Creta,Hyundai,Creta,New Car (On-Road Price) : Rs.10.95-18.30 Lakh*,1095000,1830000,2,15000,Individual,Diesel,Manual,19.67,1582,126.2,5,1225000
28,Mahindra Xylo,Mahindra,Xylo,,,,11,56823,Dealer,Diesel,Manual,14.02,2179,118.3,8,375000
29,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.36-16.57 Lakh*,1236000,1657000,6,50000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000
30,Mahindra Bolero,Mahindra,Bolero,New Car (On-Road Price) : Rs.9.05-10.69 Lakh*,905000,1069000,10,25000,Individual,Diesel,Manual,13.6,2523,63,7,350000
31,Maruti Swift Dzire,Maruti,Swift Dzire,,,,6,90000,Individual,Diesel,Manual,26.59,1248,74,5,600000
32,Maruti Swift Dzire,Maruti,Swift Dzire,,,,8,45000,Dealer,Diesel,Manual,26.59,1248,74,5,390000
33,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,1268000,1680000,14,77253,Dealer,Petrol,Manual,17.7,1497,78,5,145000
34,Hyundai i20,Hyundai,i20,,,,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,700000
35,Toyota Fortuner,Toyota,Fortuner,New Car (On-Road Price) : Rs.37.47-43.30 Lakh*,3747000,4330000,8,110000,Individual,Diesel,Manual,13,2982,168.5,7,1150000
36,Renault KWID,Renault,KWID,New Car (On-Road Price) : Rs.3.81-6.29 Lakh*,381000,629000,4,30000,Individual,Petrol,Manual,23.01,999,67,5,340000
37,Honda Amaze,Honda,Amaze,New Car (On-Road Price) : Rs.7.04-9.90 Lakh*,704000,990000,5,39993,Dealer,Petrol,Manual,18.6,1199,88.76,5,465000
38,Hyundai Santro,Hyundai,Santro,,,,12,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,125000
39,Mahindra XUV500,Mahindra,XUV500,New Car (On-Road Price) : Rs.16.59-23.36 Lakh*,1659000,2336000,9,185000,Individual,Diesel,Manual,15.1,2179,140,7,600000
40,Maruti Swift Dzire,Maruti,Swift Dzire,,,,8,90000,Individual,Diesel,Manual,23.4,1248,74,5,380000
41,Mahindra Xylo,Mahindra,Xylo,,,,12,60000,Individual,Diesel,Manual,14,2498,112,8,400000
42,Chevrolet Sail,Chevrolet,Sail,,,,7,90000,Individual,Diesel,Manual,22.1,1248,74,5,300000
43,Hyundai Xcent,Hyundai,Xcent,,,,6,20000,Individual,Petrol,Manual,19.1,1197,82,5,500000
44,Hyundai i20,Hyundai,i20,,,,3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,850000
45,Hyundai i20,Hyundai,i20,New Car (On-Road Price) : Rs.7.63-12.66 Lakh*,763000,1266000,3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000
46,Honda City,Honda,City,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,1268000,1680000,6,31180,Dealer,Petrol,Automatic,18,1497,117.3,5,700000
47,Mahindra TUV,Mahindra,TUV,,,,3,40000,Individual,Diesel,Automatic,18.49,1493,100,7,900000
48,Maruti 800,Maruti,800,,,,17,50000,Individual,Petrol,Manual,16.1,796,37,4,75000
